"","doi","journal","journal_meta.issn.1","publisher","author1","affiliation","title","abstract","topic","Year"
"21","10.1371/journal.pone.0157600","PLOS ONE",NA,"Public Library of Science","Karamitros, Timokratis","Department of Zoology, University of Oxford, Oxford, United Kingdom","De Novo Assembly of Human Herpes Virus Type 1 (HHV-1) Genome, Mining of Non-Canonical Structures and Detection of Novel Drug-Resistance Mutations Using Short- and Long-Read Next Generation Sequencing Technologies","Human herpesvirus type 1 (HHV-1) has a large double-stranded DNA genome of approximately 152 kbp that is structurally complex and GC-rich. This makes the assembly of HHV-1 whole genomes from short-read sequencing data technically challenging. To improve the assembly of HHV-1 genomes we have employed a hybrid genome assembly protocol using data from two sequencing technologies: the short-read Roche 454 and the long-read Oxford Nanopore MinION sequencers. We sequenced 18 HHV-1 cell culture-isolated clinical specimens collected from immunocompromised patients undergoing antiviral therapy. The susceptibility of the samples to several antivirals was determined by plaque reduction assay. Hybrid genome assembly resulted in a decrease in the number of contigs in 6 out of 7 samples and an increase in N(G)50 and N(G)75 of all 7 samples sequenced by both technologies. The approach also enhanced the detection of non-canonical contigs including a rearrangement between the unique (UL) and repeat (T/IRL) sequence regions of one sample that was not detectable by assembly of 454 reads alone. We detected several known and novel resistance-associated mutations in UL23 and UL30 genes. Genome-wide genetic variability ranged from <1% to 53% of amino acids in each gene exhibiting at least one substitution within the pool of samples. The UL23 gene had one of the highest genetic variabilities at 35.2% in keeping with its role in development of drug resistance. The assembly of accurate, full-length HHV-1 genomes will be useful in determining genetic determinants of drug resistance, virulence, pathogenesis and viral evolution. The numerous, complex repeat regions of the HHV-1 genome currently remain a barrier towards this goal.","ont reads sequencing",2016
"22","10.1371/journal.pone.0119583","PLOS ONE",NA,"Public Library of Science","Kuczius, Thorsten","Institute for Hygiene, Westfälische Wilhelms-University and University Hospital Münster, Robert Koch-Strasse 41, 48149, Münster, Germany","Agitation Down-Regulates Immunoglobulin Binding Protein EibG Expression in Shiga Toxin-Producing Escherichia coli (STEC)","Shiga toxin (Stx)-producing Escherichia coli (STEC) carrying eibG synthesize Escherichia coli immunoglobulin binding protein (EibG). EibG nonspecifically binds to immunoglobulins and tends to aggregate in multimers but is poorly expressed in wild-type strains. To study synthesis of the proteins and their regulation in the pathogens, we identified natural growth conditions that increased EibG synthesis. EibG proteins as well as corresponding mRNA were highly expressed under static growth conditions while shearing stress created by agitation during growth repressed protein synthesis. Further regulation effects were driven by reduced oxygen tension, and pH up-regulated EibG expression, but to a lesser extent than growth conditions while decreased temperature down-regulated EibG. Bacteria with increased EibG expression during static growth conditions showed a distinct phenotype with chain formation and biofilm generation, which disappeared with motion. High and low EibG expression was reversible indicating a process with up- and down-regulation of the protein expression. Our findings indicate that shear stress represses EibG expression and might reduce bacterial attachments to cells and surfaces.","ont reads sequencing",2015
"23","10.1371/journal.pone.0183248","PLOS ONE",NA,"Public Library of Science","Brusa, Victoria","IGEVET—Instituto de Genética Veterinaria “Ing. Fernando N. Dulout” (UNLP-CONICET LA PLATA), Facultad de Ciencias Veterinarias UNLP, La Plata, Argentina","Isolation and characterization of non-O157 Shiga toxin-producing Escherichia coli from beef carcasses, cuts and trimmings of abattoirs in Argentina","Several foods contaminated with Shiga toxin-producing Escherichia coli (STEC) are associated with human diseases. Some countries have established microbiological criteria for non-O157 STEC, thus, the absence of serogroups O26, O45, O103, O104, O111, O121, and O145 in sprouts from the European Union or ground beef and beef trimmings from the United States is mandatory. While in Argentina screening for O26, O103, O111, O145 and O121 in ground beef, ready-to-eat food, sausages and vegetables is mandatory, other countries have zero-tolerance for all STEC in chilled beef. The aim of this study was to provide data on the prevalence of non-O157 STEC isolated from beef processed in eight Argentinean cattle slaughterhouses producing beef for export and local markets, and to know the non-O157 STEC profiles through strain characterization and genotypic analysis. Samples (n = 15,965) from 3,205 beef carcasses, 9,570 cuts and 3,190 trimmings collected between March and September 2014 were processed in pools of five samples each. Pools of samples (n = 3,193) from 641 carcasses, 1,914 cuts and 638 trimming were analyzed for non-O157 STEC isolation according to ISO/CEN 13136:2012. Of these, 37 pools of carcasses (5.8%), 111 pools of cuts (5.8%) and 45 pools of trimmings (7.0%) were positive for non-O157 STEC. STEC strains (n = 200) were isolated from 193 pools of samples. The most prevalent serotypes were O174:H21, O185:H7, O8:H19, O178:H19 and O130:H11, and the most prevalent genotypes were stx2c(vh-b) and stx2a/saa/ehxA. O103:H21 strain was eae-positive and one O178:H19 strain was aggR/aaiC-positive. The prevalence of non-O157 STEC in beef carcasses reported here was low. None of the non-O157 STEC strains isolated corresponded to the non-O157 STEC serotypes and virulence profiles isolated from human cases in Argentina in the same study period. The application of microbiological criteria for each foodstuff should be determined by risk analysis in order to have a stringent monitoring system. Likewise, zero-tolerance intervention measures should be applied in beef, together with GMP and HACCP. Further, collaborative efforts for risk assessment, management and communication are extremely important to improve the safety of foodstuffs.","ont reads sequencing",2017
"24","10.1371/journal.pone.0051565","PLoS ONE",NA,"Public Library of Science","Amézquita-López, Bianca A.","Centro de Investigación en Alimentación y Desarrollo, Culiacán, Sinaloa, México","Genotypic Analyses of Shiga Toxin-Producing Escherichia coli O157 and Non-O157 Recovered from Feces of Domestic Animals on Rural Farms in Mexico","Shiga toxin-producing Escherichia coli (STEC) are zoonotic enteric pathogens associated with human gastroenteritis worldwide. Cattle and small ruminants are important animal reservoirs of STEC. The present study investigated animal reservoirs for STEC in small rural farms in the Culiacan Valley, an important agricultural region located in Northwest Mexico. A total of 240 fecal samples from domestic animals were collected from five sampling sites in the Culiacan Valley and were subjected to an enrichment protocol followed by either direct plating or immunomagnetic separation before plating on selective media. Serotype O157:H7 isolates with the virulence genes stx2, eae, and ehxA were identified in 40% (26/65) of the recovered isolates from cattle, sheep and chicken feces. Pulse-field gel electrophoresis (PFGE) analysis grouped most O157:H7 isolates into two clusters with 98.6% homology. The use of multiple-locus variable-number tandem repeat analysis (MLVA) differentiated isolates that were indistinguishable by PFGE. Analysis of the allelic diversity of MLVA loci suggested that the O157:H7 isolates from this region were highly related. In contrast to O157:H7 isolates, a greater genotypic diversity was observed in the non-O157 isolates, resulting in 23 PFGE types and 14 MLVA types. The relevant non-O157 serotypes O8:H19, O75:H8, O111:H8 and O146:H21 represented 35.4% (23/65) of the recovered isolates. In particular, 18.5% (12/65) of all the isolates were serotype O75:H8, which was the most variable serotype by both PFGE and MLVA. The non-O157 isolates were predominantly recovered from sheep and were identified to harbor either one or two stx genes. Most non-O157 isolates were ehxA-positive (86.5%, 32/37) but only 10.8% (4/37) harbored eae. These findings indicate that zoonotic STEC with genotypes associated with human illness are present in animals on small farms within rural communities in the Culiacan Valley and emphasize the need for the development of control measures to decrease risks associated with zoonotic STEC.","ont reads sequencing",2012
"25","10.1371/journal.pbio.3000251","PLOS Biology","1545-7885","Public Library of Science","Byagathvalli, Gaurav","Lambert High School, Suwanee, Georgia, United States of America","A 3D-printed hand-powered centrifuge for molecular biology","The centrifuge is an essential tool for many aspects of research and medical diagnostics. However, conventional centrifuges are often inaccessible outside of standard laboratory settings, such as remote field sites, because they require a constant external power source and can be prohibitively costly in resource-limited settings and Science, technology, engineering, and mathematics (STEM)-focused programs. Here we present the 3D-Fuge, a 3D-printed hand-powered centrifuge, as a novel alternative to standard benchtop centrifuges. Based on the design principles of a paper-based centrifuge, this 3D-printed instrument increases the volume capacity to 2 mL and can reach hand-powered centrifugation speeds up to 6,000 rpm. The 3D-Fuge devices presented here are capable of centrifugation of a wide variety of different solutions such as spinning down samples for biomarker applications and performing nucleotide extractions as part of a portable molecular lab setup. We introduce the design and proof-of-principle trials that demonstrate the utility of low-cost 3D-printed centrifuges for use in remote field biology and educational settings.","ont reads sequencing",NA
"26","10.1371/journal.pbio.3000251","PLOS Biology","1545-7885","Public Library of Science","Byagathvalli, Gaurav","Lambert High School, Suwanee, Georgia, United States of America","A 3D-printed hand-powered centrifuge for molecular biology","This Community Page article describes a low-cost 3D-printed centrifuge to enable sequencing in remote field conditions and lowering the barrier to synthetic biology research in high schools to broaden participation in hands-on STEM.","ont reads sequencing",NA
"27","10.1371/journal.pone.0220728","PLOS ONE",NA,"Public Library of Science","Hinderer, Eugene W.","Department of Molecular and Cellular Biochemistry, University of Kentucky, Lexington, KY, United States of America","Advances in gene ontology utilization improve statistical power of annotation enrichment","Gene-annotation enrichment is a common method for utilizing ontology-based annotations in gene and gene-product centric knowledgebases. Effective utilization of these annotations requires inferring semantic linkages by tracing paths through edges in the ontological graph, referred to as relations. However, some relations are semantically problematic with respect to scope, necessitating their omission or modification lest erroneous term mappings occur. To address these issues, we created the Gene Ontology Categorization Suite, or GOcats—a novel tool that organizes the Gene Ontology into subgraphs representing user-defined concepts, while ensuring that all appropriate relations are congruent with respect to scoping semantics. Here, we demonstrate the improvements in annotation enrichment by re-interpreting edges that would otherwise be omitted by traditional ancestor path-tracing methods. Specifically, we show that GOcats’ unique handling of relations improves enrichment over conventional methods in the analysis of two different gene-expression datasets: a breast cancer microarray dataset and several horse cartilage development RNAseq datasets. With the breast cancer microarray dataset, we observed significant improvement (one-sided binomial test p-value = 1.86E-25) in 182 of 217 significantly enriched GO terms identified from the conventional path traversal method when GOcats’ path traversal was used. We also found new significantly enriched terms using GOcats, whose biological relevancy has been experimentally demonstrated elsewhere. Likewise, on the horse RNAseq datasets, we observed a significant improvement in GO term enrichment when using GOcat’s path traversal: one-sided binomial test p-values range from 1.32E-03 to 2.58E-44.","ont reads sequencing",2019
"28","10.1371/journal.pone.0198620","PLOS ONE",NA,"Public Library of Science","Paape, Dario","Department of Linguistics, University of Potsdam, Potsdam, Germany","Processing of ellipsis with garden-path antecedents in French and German: Evidence from eye tracking","In a self-paced reading study on German sluicing, Paape (Paape, 2016) found that reading times were shorter at the ellipsis site when the antecedent was a temporarily ambiguous garden-path structure. As a post-hoc explanation of this finding, Paape assumed that the antecedent’s memory representation was reactivated during syntactic reanalysis, making it easier to retrieve. In two eye tracking experiments, we subjected the reactivation hypothesis to further empirical scrutiny. Experiment 1, carried out in French, showed no evidence in favor in the reactivation hypothesis. Instead, results for one out of the three types of garden-path sentences that were tested suggest that subjects sometimes failed to resolve the temporary ambiguity in the antecedent clause, and subsequently failed to resolve the ellipsis. The results of Experiment 2, a conceptual replication of Paape’s (Paape, 2016) original study carried out in German, are compatible with the reactivation hypothesis, but leave open the possibility that the observed speedup for ambiguous antecedents may be due to occasional retrievals of an incorrect structure.","ont reads sequencing",2018
"29","10.1371/journal.pone.0127066","PLOS ONE",NA,"Public Library of Science","Rodan, Lance H.","Division of Neurology, Dept. of Pediatrics, Hospital for Sick Children, University of Toronto, Toronto, Ont., Canada, M5G 1X8","L-Arginine Affects Aerobic Capacity and Muscle Metabolism in MELAS (Mitochondrial Encephalomyopathy, Lactic Acidosis and Stroke-Like Episodes) Syndrome","ObjectiveTo study the effects of L-arginine (L-Arg) on total body aerobic capacity and muscle metabolism as assessed by 31Phosphorus Magnetic Resonance Spectroscopy (31P-MRS) in patients with MELAS (Mitochondrial Encephalomyopathy with Lactic Acidosis and Stroke-like episodes) syndrome.MethodsWe performed a case control study in 3 MELAS siblings (m.3243A>G tRNAleu(UUR) in MTTL1 gene) with different % blood mutant mtDNA to evaluate total body maximal aerobic capacity (VO2peak) using graded cycle ergometry and muscle metabolism using 31P-MRS. We then ran a clinical trial pilot study in MELAS sibs to assess response of these parameters to single dose and a 6-week steady-state trial of oral L-Arginine.ResultsAt baseline (no L-Arg), MELAS had lower serum Arg (p = 0.001). On 31P-MRS muscle at rest, MELAS subjects had increased phosphocreatine (PCr) (p = 0.05), decreased ATP (p = 0.018), and decreased intracellular Mg2+ (p = 0.0002) when compared to matched controls. With L-arginine therapy, the following trends were noted in MELAS siblings on cycle ergometry: (1) increase in mean % maximum work at anaerobic threshold (AT) (2) increase in % maximum heart rate at AT (3) small increase in VO2peak. On 31P-MRS the following mean trends were noted: (1) A blunted decrease in pH after exercise (less acidosis) (2) increase in Pi/PCr ratio (ADP) suggesting increased work capacity (3) a faster half time of PCr recovery (marker of mitochondrial activity) following 5 minutes of moderate intensity exercise (4) increase in torque.SignificanceThese results suggest an improvement in aerobic capacity and muscle metabolism in MELAS subjects in response to supplementation with L-Arg. Intramyocellular hypomagnesemia is a novel finding that warrants further study.Classification of EvidenceClass III evidence that L-arginine improves aerobic capacity and muscle metabolism in MELAS subjects.Trial RegistrationClinicalTrials.gov NCT01603446.","ont reads sequencing",2015
"30","10.1371/journal.pone.0002640","PLoS ONE",NA,"Public Library of Science","Maresh, Alison","Department of Neurobiology, Yale University School of Medicine, New Haven, Connecticut, United States of America","Principles of Glomerular Organization in the Human Olfactory Bulb – Implications for Odor Processing","Olfactory sensory neurons (OSN) in mice express only 1 of a possible 1,100 odor receptors (OR) and axons from OSNs expressing the same odor receptor converge into ∼2 of the 1,800 glomeruli in each olfactory bulb (OB) in mice; this yields a convergence ratio that approximates 2∶1, 2 glomeruli/OR. Because humans express only 350 intact ORs, we examined human OBs to determine if the glomerular convergence ratio of 2∶1 established in mice was applicable to humans. Unexpectedly, the average number of human OB glomeruli is >5,500 yielding a convergence ratio of ∼16∶1. The data suggest that the initial coding of odor information in the human OB may differ from the models developed for rodents and that recruitment of additional glomeruli for subpopulations of ORs may contribute to more robust odor representation.","ont reads sequencing",2008
"31","10.1371/journal.pone.0198135","PLOS ONE",NA,"Public Library of Science","Jabbari, Neda","Institute for Systems Biology, Seattle, Washington, United States of America","Whole genome sequence and comparative analysis of Borrelia burgdorferi MM1","Lyme disease is caused by spirochaetes of the Borrelia burgdorferi sensu lato genospecies. Complete genome assemblies are available for fewer than ten strains of Borrelia burgdorferi sensu stricto, the primary cause of Lyme disease in North America. MM1 is a sensu stricto strain originally isolated in the midwestern United States. Aside from a small number of genes, the complete genome sequence of this strain has not been reported. Here we present the complete genome sequence of MM1 in relation to other sensu stricto strains and in terms of its Multi Locus Sequence Typing. Our results indicate that MM1 is a new sequence type which contains a conserved main chromosome and 15 plasmids. Our results include the first contiguous 28.5 kb assembly of lp28-8, a linear plasmid carrying the vls antigenic variation system, from a Borrelia burgdorferi sensu stricto strain.","ont reads sequencing",2018
"32","10.1371/journal.pone.0175895","PLOS ONE",NA,"Public Library of Science","Waese, Jamie","Department of Cell & Systems Biology, University of Toronto, Toronto, Ontario","Topo-phylogeny: Visualizing evolutionary relationships on a topographic landscape","Phylogenetic trees are the de facto standard for visualizing evolutionary relationships, but large trees can be difficult to interpret because they require a high cognitive load to identify relationships between multiple operational taxonomic units (OTUs). We present a new tool for displaying phylogenetic relationships as a topographic map in which OTUs autonomously attract or repel one another based on their individual branch lengths and distance to a common ancestor. This data visualization paradigm makes it possible to preattentively identify the nature of the relationship between items without having to trace a complex network of branches back to the root. This tool was developed for exploring phylogenetic data, but the technique could be extended for visualizing other hierarchical structures as well.","ont reads sequencing",2017
"33","10.1371/journal.pone.0153364","PLOS ONE",NA,"Public Library of Science","Cassidy, Alicia A.","Département de biologie, Université de Moncton, Moncton, NB, Canada","Adjustments of Protein Metabolism in Fasting Arctic Charr, Salvelinus alpinus","Protein metabolism, including the interrelated processes of synthesis and degradation, mediates the growth of an animal. In ectothermic animals, protein metabolism is responsive to changes in both biotic and abiotic conditions. This study aimed to characterise responses of protein metabolism to food deprivation that occur in the coldwater salmonid, Arctic charr, Salvelinus alpinus. We compared two groups of Arctic charr: one fed continuously and the other deprived of food for 36 days. We measured the fractional rate of protein synthesis (KS) in individuals from the fed and fasted groups using a flooding dose technique modified for the use of deuterium-labelled phenylalanine. The enzyme activities of the three major protein degradation pathways (ubiquitin proteasome, lysosomal cathepsins and the calpain systems) were measured in the same fish. This study is the first to measure both KS and the enzymatic activity of protein degradation in the same fish, allowing us to examine the apparent contribution of different protein degradation pathways to protein turnover in various tissues (red and white muscle, liver, heart and gills). KS was lower in the white muscle and in liver of the fasted fish compared to the fed fish. There were no observable effects of food deprivation on the protease activities in any of the tissues with the exception of liver, where the ubiquitin proteasome pathway seemed to be activated during fasting conditions. Lysosomal proteolysis appears to be the primary degradation pathway for muscle protein, while the ubiquitin proteasome pathway seems to predominate in the liver. We speculate that Arctic charr regulate protein metabolism during food deprivation to conserve proteins.","ont reads sequencing",2016
"34","10.1371/journal.pone.0021740","PLoS ONE",NA,"Public Library of Science","Ping, Jihui","Department of Biochemistry, Microbiology and Immunology, Faculty of Medicine, University of Ottawa, Ottawa, Ontario, Canada","Genomic and Protein Structural Maps of Adaptive Evolution of Human Influenza A Virus to Increased Virulence in the Mouse","Adaptive evolution is characterized by positive and parallel, or repeated selection of mutations. Mouse adaptation of influenza A virus (IAV) produces virulent mutants that demonstrate positive and parallel evolution of mutations in the hemagglutinin (HA) receptor and non-structural protein 1 (NS1) interferon antagonist genes. We now present a genomic analysis of all 11 genes of 39 mouse adapted IAV variants from 10 replicate adaptation experiments. Mutations were mapped on the primary and structural maps of each protein and specific mutations were validated with respect to virulence, replication, and RNA polymerase activity. Mouse adapted (MA) variants obtained after 12 or 20–21 serial infections acquired on average 5.8 and 7.9 nonsynonymous mutations per genome of 11 genes, respectively. Among a total of 115 nonsynonymous mutations, 51 demonstrated properties of natural selection including 27 parallel mutations. The greatest degree of parallel evolution occurred in the HA receptor and ribonucleocapsid components, polymerase subunits (PB1, PB2, PA) and NP. Mutations occurred in host nuclear trafficking factor binding sites as well as sites of virus-virus protein subunit interaction for NP, NS1, HA and NA proteins. Adaptive regions included cap binding and endonuclease domains in the PB2 and PA polymerase subunits. Four mutations in NS1 resulted in loss of binding to the host cleavage and polyadenylation specificity factor (CPSF30) suggesting that a reduction in inhibition of host gene expression was being selected. The most prevalent mutations in PB2 and NP were shown to increase virulence but differed in their ability to enhance replication and demonstrated epistatic effects. Several positively selected RNA polymerase mutations demonstrated increased virulence associated with >300% enhanced polymerase activity. Adaptive mutations that control host range and virulence were identified by their repeated selection to comprise a defined model for studying IAV evolution to increased virulence in the mouse.","ont reads sequencing",2011
"35","10.1371/journal.pone.0054982","PLoS ONE",NA,"Public Library of Science","Jetha, Nahid N.","Department of Physics and Astronomy, University of British Columbia, Vancouver, British Columbia, Canada","Nanopore Analysis of Wild-Type and Mutant Prion Protein (PrPC): Single Molecule Discrimination and PrPC Kinetics","Prion diseases are fatal neurodegenerative diseases associated with the conversion of cellular prion protein (PrPC) in the central nervous system into the infectious isoform (PrPSc). The mechanics of conversion are almost entirely unknown, with understanding stymied by the lack of an atomic-level structure for PrPSc. A number of pathogenic PrPC mutants exist that are characterized by an increased propensity for conversion into PrPSc and that differ from wild-type by only a single amino-acid point mutation in their primary structure. These mutations are known to perturb the stability and conformational dynamics of the protein. Understanding of how this occurs may provide insight into the mechanism of PrPC conversion. In this work we sought to explore wild-type and pathogenic mutant prion protein structure and dynamics by analysis of the current fluctuations through an organic α-hemolysin nanometer-scale pore (nanopore) in which a single prion protein has been captured electrophoretically. In doing this, we find that wild-type and D178N mutant PrPC, (a PrPC mutant associated with both Fatal Familial Insomnia and Creutzfeldt-Jakob disease), exhibit easily distinguishable current signatures and kinetics inside the pore and we further demonstrate, with the use of Hidden Markov Model signal processing, accurate discrimination between these two proteins at the single molecule level based on the kinetics of a single PrPC capture event. Moreover, we present a four-state model to describe wild-type PrPC kinetics in the pore as a first step in our investigation on characterizing the differences in kinetics and conformational dynamics between wild-type and D178N mutant PrPC. These results demonstrate the potential of nanopore analysis for highly sensitive, real-time protein and small molecule detection based on single molecule kinetics inside a nanopore, and show the utility of this technique as an assay to probe differences in stability between wild-type and mutant prion proteins at the single molecule level.","ont reads sequencing",2012
"36","10.1371/journal.pone.0207857","PLOS ONE",NA,"Public Library of Science","Gekenidis, Maria-Theresia","Microbiology of Plant Foods, Agroscope, Waedenswil, Switzerland","Antibiotic-resistant indicator bacteria in irrigation water: High prevalence of extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli","Irrigation water is a major source of fresh produce contamination with undesired microorganisms including antibiotic-resistant bacteria (ARB), and contaminated fresh produce can transfer ARB to the consumer especially when consumed raw. Nevertheless, no legal guidelines exist so far regulating quality of irrigation water with respect to ARB. We therefore examined irrigation water from major vegetable growing areas for occurrence of antibiotic-resistant indicator bacteria Escherichia coli and Enterococcus spp., including extended-spectrum β-lactamase (ESBL)-producing E. coli and vancomycin-resistant Enterococcus spp. Occurrence of ARB strains was compared to total numbers of the respective species. We categorized water samples according to total numbers and found that categories with higher total E. coli or Enterococcus spp. numbers generally had an increased proportion of respective ARB-positive samples. We further detected high prevalence of ESBL-producing E. coli with eight positive samples of thirty-six (22%), while two presumptive vancomycin-resistant Enterococcus spp. were vancomycin-susceptible in confirmatory tests. In disk diffusion assays all ESBL-producing E. coli were multidrug-resistant (n = 21) and whole-genome sequencing of selected strains revealed a multitude of transmissible resistance genes (ARG), with blaCTX-M-1 (4 of 11) and blaCTX-M-15 (3 of 11) as the most frequent ESBL genes. Overall, the increased occurrence of indicator ARB with increased total indicator bacteria suggests that the latter might be a suitable estimate for presence of respective ARB strains. Finally, the high prevalence of ESBL-producing E. coli with transmissible ARG emphasizes the need to establish legal critical values and monitoring guidelines for ARB in irrigation water.","ont reads sequencing",2018
"37","10.1371/journal.pone.0126145","PLOS ONE",NA,"Public Library of Science","Rodriguez-Dominguez, Mario","Servicio de Microbiología Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS), Madrid, Spain","High Prevalence of Co-Infections by Invasive and Non-Invasive Chlamydia trachomatis Genotypes during the Lymphogranuloma Venereum Outbreak in Spain","The evolution of Chlamydia trachomatis is mainly driven by recombination events. This fact can be fuelled by the coincidence in several European regions of the high prevalence of non-invasive urogenital genotypes and lymphogranuloma venereum (LGV) outbreaks. This scenario could modify the local epidemiology and favor the selection of new C. trachomatis variants. Quantifying the prevalence of co-infection could help to predict the potential risk in the selection of new variants with unpredictable results in pathogenesis or transmissibility. In the 2009-2013 period, 287 clinical samples with demonstrated presence of C. trachomatis were selected. They were divided in two groups. The first group was constituted by 137 samples with C. trachomatis of the LGV genotypes, and the second by the remaining 150 samples in which the presence of LGV genotypes was previously excluded. They were analyzed to detect the simultaneous presence of non-LGV genotypes based on pmpH and ompA genes. In the first group, co-infections were detected in 10.9% of the cases whereas in the second group the prevalence was 14.6%, which is the highest percentage ever described among European countries. Moreover, bioinformatic analyses suggested the presence among men who have sex with men of a pmpH-recombinant variant, similar to strains described in Seattle in 2002. This variant was the result of genetic exchange between genotypes belonging to LGV and members of G-genotype. Sequencing of other genes, phylogenetically related to pathotype, confirmed that the putative recombinant found in Madrid could have a common origin with the strains described in Seattle. Countries with a high prevalence of co-infections and high migration flows should enhance surveillance programs in at least their vulnerable population.","ont reads sequencing",2015
"38","10.1371/journal.pone.0063027","PLoS ONE",NA,"Public Library of Science","Guy, Lionel","Department of Molecular Evolution, Cell and Molecular Biology, Science for Life Laboratory, Biomedical Centre, Uppsala University, Uppsala, Sweden","Adaptive Mutations and Replacements of Virulence Traits in the Escherichia coli O104:H4 Outbreak Population","The sequencing of highly virulent Escherichia coli O104:H4 strains isolated during the outbreak of bloody diarrhea and hemolytic uremic syndrome in Europe in 2011 revealed a genome that contained a Shiga toxin encoding prophage and a plasmid encoding enteroaggregative fimbriae. Here, we present the draft genome sequence of a strain isolated in Sweden from a patient who had travelled to Tunisia in 2010 (E112/10) and was found to differ from the outbreak strains by only 38 SNPs in non-repetitive regions, 16 of which were mapped to the branch to the outbreak strain. We identified putatively adaptive mutations in genes for transporters, outer surface proteins and enzymes involved in the metabolism of carbohydrates. A comparative analysis with other historical strains showed that E112/10 contained Shiga toxin prophage genes of the same genotype as the outbreak strain, while these genes have been replaced by a different genotype in two otherwise very closely related strains isolated in the Republic of Georgia in 2009. We also present the genome sequences of two enteroaggregative E. coli strains affiliated with phylogroup A (C43/90 and C48/93) that contain the agg genes for the AAF/I-type fimbriae characteristic of the outbreak population. Interestingly, C43/90 also contained a tet/mer antibiotic resistance island that was nearly identical in sequence to that of the outbreak strain, while the corresponding island in the Georgian strains was most similar to E. coli strains of other serotypes. We conclude that the pan-genome of the outbreak population is shared with strains of the A phylogroup and that its evolutionary history is littered with gene replacement events, including most recently independent acquisitions of antibiotic resistance genes in the outbreak strains and its nearest neighbors. The results are summarized in a refined evolutionary model for the emergence of the O104:H4 outbreak population.","ont reads sequencing",2013
"39","10.1371/journal.pone.0028782","PLoS ONE",NA,"Public Library of Science","Gosal, Gurinder","Department of Biochemistry and Molecular Biology, University of Georgia, Athens, United States of America","ProKinO: An Ontology for Integrative Analysis of Protein Kinases in Cancer","BackgroundProtein kinases are a large and diverse family of enzymes that are genomically altered in many human cancers. Targeted cancer genome sequencing efforts have unveiled the mutational profiles of protein kinase genes from many different cancer types. While mutational data on protein kinases is currently catalogued in various databases, integration of mutation data with other forms of data on protein kinases such as sequence, structure, function and pathway is necessary to identify and characterize key cancer causing mutations. Integrative analysis of protein kinase data, however, is a challenge because of the disparate nature of protein kinase data sources and data formats.ResultsHere, we describe ProKinO, a protein kinase-specific ontology, which provides a controlled vocabulary of terms, their hierarchy, and relationships unifying sequence, structure, function, mutation and pathway information on protein kinases. The conceptual representation of such diverse forms of information in one place not only allows rapid discovery of significant information related to a specific protein kinase, but also enables large-scale integrative analysis of protein kinase data in ways not possible through other kinase-specific resources. We have performed several integrative analyses of ProKinO data and, as an example, found that a large number of somatic mutations (∼288 distinct mutations) associated with the haematopoietic neoplasm cancer type map to only 8 kinases in the human kinome. This is in contrast to glioma, where the mutations are spread over 82 distinct kinases. We also provide examples of how ontology-based data analysis can be used to generate testable hypotheses regarding cancer mutations.ConclusionWe present an integrated framework for large-scale integrative analysis of protein kinase data. Navigation and analysis of ontology data can be performed using the ontology browser available at: http://vulcan.cs.uga.edu/prokino.","ont reads sequencing",2011
"40","10.1371/journal.pcbi.1003063","PLoS Computational Biology","1553-7358","Public Library of Science","Schnoes, Alexandra M.","Department of Bioengineering and Therapeutic Sciences, University of California, San Francisco, San Francisco, California, United States of America","Biases in the Experimental Annotations of Protein Function and Their Effect on Our Understanding of Protein Function Space","The ongoing functional annotation of proteins relies upon the work of curators to capture experimental findings from scientific literature and apply them to protein sequence and structure data. However, with the increasing use of high-throughput experimental assays, a small number of experimental studies dominate the functional protein annotations collected in databases. Here, we investigate just how prevalent is the “few articles - many proteins” phenomenon. We examine the experimentally validated annotation of proteins provided by several groups in the GO Consortium, and show that the distribution of proteins per published study is exponential, with 0.14% of articles providing the source of annotations for 25% of the proteins in the UniProt-GOA compilation. Since each of the dominant articles describes the use of an assay that can find only one function or a small group of functions, this leads to substantial biases in what we know about the function of many proteins. Mass-spectrometry, microscopy and RNAi experiments dominate high throughput experiments. Consequently, the functional information derived from these experiments is mostly of the subcellular location of proteins, and of the participation of proteins in embryonic developmental pathways. For some organisms, the information provided by different studies overlap by a large amount. We also show that the information provided by high throughput experiments is less specific than those provided by low throughput experiments. Given the experimental techniques available, certain biases in protein function annotation due to high-throughput experiments are unavoidable. Knowing that these biases exist and understanding their characteristics and extent is important for database curators, developers of function annotation programs, and anyone who uses protein function annotation data to plan experiments.","ont reads sequencing",2013
