"","doi","journal","publisher","author1","affiliation","title","abstract","topic","Year"
"29","10.1371/journal.pone.0054982","PLoS ONE","Public Library of Science","Jetha, Nahid N.","Department of Physics and Astronomy, University of British Columbia, Vancouver, British Columbia, Canada","Nanopore Analysis of Wild-Type and Mutant Prion Protein (PrPC): Single Molecule Discrimination and PrPC Kinetics","Prion diseases are fatal neurodegenerative diseases associated with the conversion of cellular prion protein (PrPC) in the central nervous system into the infectious isoform (PrPSc). The mechanics of conversion are almost entirely unknown, with understanding stymied by the lack of an atomic-level structure for PrPSc. A number of pathogenic PrPC mutants exist that are characterized by an increased propensity for conversion into PrPSc and that differ from wild-type by only a single amino-acid point mutation in their primary structure. These mutations are known to perturb the stability and conformational dynamics of the protein. Understanding of how this occurs may provide insight into the mechanism of PrPC conversion. In this work we sought to explore wild-type and pathogenic mutant prion protein structure and dynamics by analysis of the current fluctuations through an organic a-hemolysin nanometer-scale pore (nanopore) in which a single prion protein has been captured electrophoretically. In doing this, we find that wild-type and D178N mutant PrPC, (a PrPC mutant associated with both Fatal Familial Insomnia and Creutzfeldt-Jakob disease), exhibit easily distinguishable current signatures and kinetics inside the pore and we further demonstrate, with the use of Hidden Markov Model signal processing, accurate discrimination between these two proteins at the single molecule level based on the kinetics of a single PrPC capture event. Moreover, we present a four-state model to describe wild-type PrPC kinetics in the pore as a first step in our investigation on characterizing the differences in kinetics and conformational dynamics between wild-type and D178N mutant PrPC. These results demonstrate the potential of nanopore analysis for highly sensitive, real-time protein and small molecule detection based on single molecule kinetics inside a nanopore, and show the utility of this technique as an assay to probe differences in stability between wild-type and mutant prion proteins at the single molecule level.","oxford nanopore sequencing",2012
"30","10.1371/journal.pgen.1008013","PLOS Genetics","Public Library of Science","Pan, Qiaowei","INRA, UR1037 LPGP, Campus de Beaulieu, Rennes, France","Identification of the master sex determining gene in Northern pike (Esox lucius) reveals restricted sex chromosome differentiation","Teleost fishes, thanks to their rapid evolution of sex determination mechanisms, provide remarkable opportunities to study the formation of sex chromosomes and the mechanisms driving the birth of new master sex determining (MSD) genes. However, the evolutionary interplay between the sex chromosomes and the MSD genes they harbor is rather unexplored. We characterized a male-specific duplicate of the anti-Müllerian hormone (amh) as the MSD gene in Northern Pike (Esox lucius), using genomic and expression evidence as well as by loss-of-function and gain-of-function experiments. Using RAD-Sequencing from a family panel, we identified Linkage Group (LG) 24 as the sex chromosome and positioned the sex locus in its sub-telomeric region. Furthermore, we demonstrated that this MSD originated from an ancient duplication of the autosomal amh gene, which was subsequently translocated to LG24. Using sex-specific pooled genome sequencing and a new male genome sequence assembled using Nanopore long reads, we also characterized the differentiation of the X and Y chromosomes, revealing a small male-specific insertion containing the MSD gene and a limited region with reduced recombination. Our study reveals an unexpectedly low level of differentiation between a pair of sex chromosomes harboring an old MSD gene in a wild teleost fish population, and highlights both the pivotal role of genes from the amh pathway in sex determination, as well as the importance of gene duplication as a mechanism driving the turnover of sex chromosomes in this clade.","oxford nanopore sequencing",2019
"31","10.1371/journal.pgen.1008013","PLOS Genetics","Public Library of Science","Pan, Qiaowei","INRA, UR1037 LPGP, Campus de Beaulieu, Rennes, France","Identification of the master sex determining gene in Northern pike (Esox lucius) reveals restricted sex chromosome differentiation","Author summaryIn stark contrast to mammals and birds, a high proportion of teleosts have homomorphic sex chromosomes and display a high diversity of sex determining genes. Yet, population level knowledge of both the sex chromosome and the master sex determining gene is only available for the Japanese medaka, a model species. Here we identified and provided functional proofs of an old duplicate of anti-Müllerian hormone (Amh), a member of the Tgf- ß family, as the male master sex determining gene in the Northern pike, Esox lucius. We found that this duplicate, named amhby (Y-chromosome-specific anti-Müllerian hormone paralog b), was translocated to the sub-telomeric region of the new sex chromosome, and now amhby shows strong sequence divergence as well as substantial expression pattern differences from its autosomal paralog, amha. We assembled a male genome sequence using Nanopore long reads and identified a restricted region of differentiation within the sex chromosome pair in a wild population. Our results provide insight on the conserved players in sex determination pathways, the mechanisms of sex chromosome turnover, and the diversity of levels of differentiation between homomorphic sex chromosomes in teleosts.","oxford nanopore sequencing",2019
"32","10.1371/journal.pgen.1007819","PLOS Genetics","Public Library of Science","Jupe, Florian","Genomic Analysis Laboratory, Salk Institute for Biological Studies, La Jolla, CA, United States of America","The complex architecture and epigenomic impact of plant T-DNA insertions","The bacterium Agrobacterium tumefaciens has been the workhorse in plant genome engineering. Customized replacement of native tumor-inducing (Ti) plasmid elements enabled insertion of a sequence of interest called Transfer-DNA (T-DNA) into any plant genome. Although these transfer mechanisms are well understood, detailed understanding of structure and epigenomic status of insertion events was limited by current technologies. Here we applied two single-molecule technologies and analyzed Arabidopsis thaliana lines from three widely used T-DNA insertion collections (SALK, SAIL and WISC). Optical maps for four randomly selected T-DNA lines revealed between one and seven insertions/rearrangements, and the length of individual insertions from 27 to 236 kilobases. De novo nanopore sequencing-based assemblies for two segregating lines partially resolved T-DNA structures and revealed multiple translocations and exchange of chromosome arm ends. For the current TAIR10 reference genome, nanopore contigs corrected 83% of non-centromeric misassemblies. The unprecedented contiguous nucleotide-level resolution enabled an in-depth study of the epigenome at T-DNA insertion sites. SALK_059379 line T-DNA insertions were enriched for 24nt small interfering RNAs (siRNA) and dense cytosine DNA methylation, resulting in transgene silencing via the RNA-directed DNA methylation pathway. In contrast, SAIL_232 line T-DNA insertions are predominantly targeted by 21/22nt siRNAs, with DNA methylation and silencing limited to a reporter, but not the resistance gene. Additionally, we profiled the H3K4me3, H3K27me3 and H2A.Z chromatin environments around T-DNA insertions using ChIP-seq in SALK_059379, SAIL_232 and five additional T-DNA lines. We discovered various effect s ranging from complete loss of chromatin marks to the de novo incorporation of H2A.Z and trimethylation of H3K4 and H3K27 around the T-DNA integration sites. This study provides new insights into the structural impact of inserting foreign fragments into plant genomes and demonstrates the utility of state-of-the-art long-range sequencing technologies to rapidly identify unanticipated genomic changes.","oxford nanopore sequencing",2018
"33","10.1371/journal.pgen.1007819","PLOS Genetics","Public Library of Science","Jupe, Florian","Genomic Analysis Laboratory, Salk Institute for Biological Studies, La Jolla, CA, United States of America","The complex architecture and epigenomic impact of plant T-DNA insertions","Author summaryOur routine ability to add or alter genes in plant genomes using transgenesis has proven to be a game changer to plant sciences. Transgenics not only enables the study of gene function but also allows the development of modern crop plants without the unwanted genetic baggage coming from natural crossing. A major tool to create transgenics is the Agrobacterium system which naturally shuttles and integrates pieces of foreign DNA into its host genome. While the position and number of integrations was relatively easy to track, molecular tools never allowed to see the integrated piece of DNA within a single “picture”. Here we have utilized state-of-the-art DNA sequencing technology to capture the size and structure of multiple DNA insertion events in a plant genome. We discovered that insertion of the anticipated DNA fragment occurred as multiple concatenated full and partial fragments that led in some cases to intra- and interchromosomal rearrangements. Our analysis of the epigenetic landscapes showed variable effects from silencing of the integrated foreign DNA to alterations of chromatin marks and thus chromatin structure and functionality.","oxford nanopore sequencing",2018
"34","10.1371/journal.pcbi.1007273","PLOS Computational Biology","Public Library of Science","Ghurye, Jay","Department of Computer Science, University of Maryland, College Park, Maryland, United States of America","Integrating Hi-C links with assembly graphs for chromosome-scale assembly","Long-read sequencing and novel long-range assays have revolutionized de novo genome assembly by automating the reconstruction of reference-quality genomes. In particular, Hi-C sequencing is becoming an economical method for generating chromosome-scale scaffolds. Despite its increasing popularity, there are limited open-source tools available. Errors, particularly inversions and fusions across chromosomes, remain higher than alternate scaffolding technologies. We present a novel open-source Hi-C scaffolder that does not require an a priori estimate of chromosome number and minimizes errors by scaffolding with the assistance of an assembly graph. We demonstrate higher accuracy than the state-of-the-art methods across a variety of Hi-C library preparations and input assembly sizes. The Python and C++ code for our method is openly available at https://github.com/machinegun/SALSA.","oxford nanopore sequencing",2019
"35","10.1371/journal.pcbi.1007273","PLOS Computational Biology","Public Library of Science","Ghurye, Jay","Department of Computer Science, University of Maryland, College Park, Maryland, United States of America","Integrating Hi-C links with assembly graphs for chromosome-scale assembly","Author summaryHi-C technology was originally proposed to study the 3D organization of a genome. Recently, it has also been applied to assemble large eukaryotic genomes into chromosome-scale scaffolds. Despite this, there are few open source methods to generate these assemblies. Existing methods are also prone to small inversion errors due to noise in the Hi-C data. In this work, we address these challenges and develop a method, named SALSA2. SALSA2 uses sequence overlap information from an assembly graph to correct inversion errors and provide accurate chromosome-scale assemblies.","oxford nanopore sequencing",2019
"36","10.1371/journal.pone.0135906","PLOS ONE","Public Library of Science","McFarland, Karen N.","Department of Neurology and The McKnight Brain Institute, University of Florida, Gainesville, Florida, 32610, United States of America","SMRT Sequencing of Long Tandem Nucleotide Repeats in SCA10 Reveals Unique Insight of Repeat Expansion Structure","A large, non-coding ATTCT repeat expansion causes the neurodegenerative disorder, spinocerebellar ataxia type 10 (SCA10). In a subset of SCA10 patients, interruption motifs are present at the 5’ end of the expansion and strongly correlate with epileptic seizures. Thus, interruption motifs are a predictor of the epileptic phenotype and are hypothesized to act as a phenotypic modifier in SCA10. Yet, the exact internal sequence structure of SCA10 expansions remains unknown due to limitations in current technologies for sequencing across long extended tracts of tandem nucleotide repeats. We used the third generation sequencing technology, Single Molecule Real Time (SMRT) sequencing, to obtain full-length contiguous expansion sequences, ranging from 2.5 to 4.4 kb in length, from three SCA10 patients with different clinical presentations. We obtained sequence spanning the entire length of the expansion and identified the structure of known and novel interruption motifs within the SCA10 expansion. The exact interruption patterns in expanded SCA10 alleles will allow us to further investigate the potential contributions of these interrupting sequences to the pathogenic modification leading to the epilepsy phenotype in SCA10. Our results also demonstrate that SMRT sequencing is useful for deciphering long tandem repeats that pose as “gaps” in the human genome sequence.","oxford nanopore sequencing",2015
"37","10.1371/journal.ppat.1007901","PLOS Pathogens","Public Library of Science","Baptista, Rodrigo P.","Center for Tropical and Emerging Global Diseases, University of Georgia, Athens, Georgia, United States of America","Is reliance on an inaccurate genome sequence sabotaging your experiments?","Advances in genomics have made whole genome studies increasingly feasible across the life sciences. However, new technologies and algorithmic advances do not guarantee flawless genomic sequences or annotation. Bias, errors, and artifacts can enter at any stage of the process from library preparation to annotation. When planning an experiment that utilizes a genome sequence as the basis for the design, there are a few basic checks that, if performed, may better inform the experimental design and ideally help avoid a failed experiment or inconclusive result.","oxford nanopore sequencing",NA
"38","10.1371/journal.pone.0198135","PLOS ONE","Public Library of Science","Jabbari, Neda","Institute for Systems Biology, Seattle, Washington, United States of America","Whole genome sequence and comparative analysis of Borrelia burgdorferi MM1","Lyme disease is caused by spirochaetes of the Borrelia burgdorferi sensu lato genospecies. Complete genome assemblies are available for fewer than ten strains of Borrelia burgdorferi sensu stricto, the primary cause of Lyme disease in North America. MM1 is a sensu stricto strain originally isolated in the midwestern United States. Aside from a small number of genes, the complete genome sequence of this strain has not been reported. Here we present the complete genome sequence of MM1 in relation to other sensu stricto strains and in terms of its Multi Locus Sequence Typing. Our results indicate that MM1 is a new sequence type which contains a conserved main chromosome and 15 plasmids. Our results include the first contiguous 28.5 kb assembly of lp28-8, a linear plasmid carrying the vls antigenic variation system, from a Borrelia burgdorferi sensu stricto strain.","oxford nanopore sequencing",2018
"39","10.1371/journal.pgen.1007853","PLOS Genetics","Public Library of Science","Brouwers, Nick","Department of Biotechnology, Delft University of Technology, Van der Maasweg 9, 2629HZ Delft, The Netherlands","In vivo recombination of Saccharomyces eubayanus maltose-transporter genes yields a chimeric transporter that enables maltotriose fermentation","Saccharomyces eubayanus is the non-S. cerevisiae parent of the lager-brewing hybrid S. pastorianus. In contrast to most S. cerevisiae and Frohberg-type S. pastorianus strains, S. eubayanus cannot utilize the a-tri-glucoside maltotriose, a major carbohydrate in brewer’s wort. In Saccharomyces yeasts, utilization of maltotriose is encoded by the subtelomeric MAL gene family, and requires transporters for maltotriose uptake. While S. eubayanus strain CBS 12357T harbors four SeMALT genes which enable uptake of the a-di-glucoside maltose, it lacks maltotriose transporter genes. In S. cerevisiae, sequence identity indicates that maltotriose and maltose transporters likely evolved from a shared ancestral gene. To study the evolvability of maltotriose utilization in S. eubayanus CBS 12357T, maltotriose-assimilating mutants obtained after UV mutagenesis were subjected to laboratory evolution in carbon-limited chemostat cultures on maltotriose-enriched wort. An evolved strain showed improved maltose and maltotriose fermentation in 7 L fermenter experiments on industrial wort. Whole-genome sequencing revealed a novel mosaic SeMALT413 gene, resulting from repeated gene introgressions by non-reciprocal translocation of at least three SeMALT genes. The predicted tertiary structure of SeMalT413 was comparable to the original SeMalT transporters, but overexpression of SeMALT413 sufficed to enable growth on maltotriose, indicating gene neofunctionalization had occurred. The mosaic structure of SeMALT413 resembles the structure of S. pastorianus maltotriose-transporter gene SpMTY1, which has high sequences identity to alternatingly S. cerevisiae MALx1, S. paradoxus MALx1 and S. eubayanus SeMALT3. Evolution of the maltotriose transporter landscape in hybrid S. pastorianus lager-brewing strains is therefore likely to have involved mechanisms similar to those observed in the present study.","oxford nanopore sequencing",2018
"40","10.1371/journal.pgen.1007853","PLOS Genetics","Public Library of Science","Brouwers, Nick","Department of Biotechnology, Delft University of Technology, Van der Maasweg 9, 2629HZ Delft, The Netherlands","In vivo recombination of Saccharomyces eubayanus maltose-transporter genes yields a chimeric transporter that enables maltotriose fermentation","Author summaryFermentation of the wort sugar maltotriose is critical for the flavor profile obtained during beer brewing. The recently discovered yeast Saccharomyces eubayanus is gaining popularity as an alternative to S. pastorianus and S. cerevisiae for brewing, however it is unable to utilize maltotriose. Here, a combination of non-GMO mutagenesis and laboratory evolution of the S. eubayanus type strain CBS 12357T was used to enable maltotriose fermentation and improve brewing performance. The improved strain expressed a novel transporter gene, SeMALT413, which was formed by recombination between three different SeMALT maltose-transporter genes. Overexpression of SeMALT413 in CBS 12357T confirmed its neofunctionalization as a maltotriose transporter. As the S. pastorianus maltotriose transporter SpMty1 has a mosaic structure similar to SeMalT413, maltotriose utilization likely involved similar recombination events during the domestication of current lager brewing strains. Based on a posteriori sequence analysis, the emergence of gene functions has been attributed to gene neofunctionalization in a broad range of organisms. The real-time observation of neofunctionalization during laboratory evolution constitutes an important validation of the relevance and importance of this mechanism for Darwinian evolution.","oxford nanopore sequencing",2018
"41","10.1371/journal.pntd.0007065","PLOS Neglected Tropical Diseases","Public Library of Science","Naveca, Felipe Gomes","Laboratório de Ecologia de Doenças Transmissíveis na Amazônia, Instituto Leônidas e Maria Deane, FIOCRUZ, Manaus, Brazil","Genomic, epidemiological and digital surveillance of Chikungunya virus in the Brazilian Amazon","BackgroundSince its first detection in the Caribbean in late 2013, chikungunya virus (CHIKV) has affected 51 countries in the Americas. The CHIKV epidemic in the Americas was caused by the CHIKV-Asian genotype. In August 2014, local transmission of the CHIKV-Asian genotype was detected in the Brazilian Amazon region. However, a distinct lineage, the CHIKV-East-Central-South-America (ECSA)-genotype, was detected nearly simultaneously in Feira de Santana, Bahia state, northeast Brazil. The genomic diversity and the dynamics of CHIKV in the Brazilian Amazon region remains poorly understood despite its importance to better understand the epidemiological spread and public health impact of CHIKV in the country.Methodology/Principal findingsWe report a large CHIKV outbreak (5,928 notified cases between August 2014 and August 2018) in Boa vista municipality, capital city of Roraima’s state, located in the Brazilian Amazon region. We generated 20 novel CHIKV-ECSA genomes from the Brazilian Amazon region using MinION portable genome sequencing. Phylogenetic analyses revealed that despite an early introduction of the Asian genotype in 2015 in Roraima, the large CHIKV outbreak in 2017 in Boa Vista was caused by an ECSA-lineage most likely introduced from northeastern Brazil. Epidemiological analyses suggest a basic reproductive number of R0 of 1.66, which translates in an estimated 39 (95% CI: 36 to 45) % of Roraima’s population infected with CHIKV-ECSA. Finally, we find a strong association between Google search activity and the local laboratory-confirmed CHIKV cases in Roraima.Conclusions/SignificanceThis study highlights the potential of combining traditional surveillance with portable genome sequencing technologies and digital epidemiology to inform public health surveillance in the Amazon region. Our data reveal a large CHIKV-ECSA outbreak in Boa Vista, limited potential for future CHIKV outbreaks, and indicate a replacement of the Asian genotype by the ECSA genotype in the Amazon region.","oxford nanopore sequencing",2019
"42","10.1371/journal.pntd.0007065","PLOS Neglected Tropical Diseases","Public Library of Science","Naveca, Felipe Gomes","Laboratório de Ecologia de Doenças Transmissíveis na Amazônia, Instituto Leônidas e Maria Deane, FIOCRUZ, Manaus, Brazil","Genomic, epidemiological and digital surveillance of Chikungunya virus in the Brazilian Amazon","Author summaryUntil the end of 2017, Brazil notified the highest number of infections caused by chikungunya virus (CHIKV) in the Americas. We investigated a large CHIKV outbreak in Boa vista municipality in the Brazilian Amazon region. Rapid portable genome sequencing of 20 novel isolates and subsequent genetic analysis revealed that ECSA lineage was introduced from northeastern Brazil to Roraima around July 2016. Epidemiological analyses suggest a basic reproductive number of R0 of 1.66, which suggests that approximately 39% of Roraima’s population was infected with CHIKV-ECSA. Given the dominance of the CHIKV-Asian genotype in the Americas, our data highlights the rapid spread of a less understood and poorly characterized CHIKV-ECSA genotype in Brazil. Investigations on potential associations between public health impact of CHIKV and genetic diversity of circulating strains are warranted to better evaluate its impact in Brazil and beyond.","oxford nanopore sequencing",2019
"43","10.1371/journal.pcbi.1006967","PLOS Computational Biology","Public Library of Science","Martí, Jose Manuel","Institute for Integrative Systems Biology (I2SysBio), Valencia, Spain","Recentrifuge: Robust comparative analysis and contamination removal for metagenomics","Metagenomic sequencing is becoming widespread in biomedical and environmental research, and the pace is increasing even more thanks to nanopore sequencing. With a rising number of samples and data per sample, the challenge of efficiently comparing results within a specimen and between specimens arises. Reagents, laboratory, and host related contaminants complicate such analysis. Contamination is particularly critical in low microbial biomass body sites and environments, where it can comprise most of a sample if not all. Recentrifuge implements a robust method for the removal of negative-control and crossover taxa from the rest of samples. With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications. In addition to contamination-subtracted samples, Recentrifuge provides shared and exclusive taxa per sample, thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics. Regarding the first area, Recentrifuge’s novel approach has already demonstrated its benefits showing that microbiomes of Arctic and Antarctic solar panels display similar taxonomic profiles. In the clinical field, to confirm Recentrifuge’s ability to analyze complex metagenomes, we challenged it with data coming from a metagenomic investigation of RNA in plasma that suffered from critical contamination to the point of preventing any positive conclusion. Recentrifuge provided results that yielded new biological insight into the problem, supporting the growing evidence of a blood microbiota even in healthy individuals, mostly translocated from the gut, the oral cavity, and the genitourinary tract. We also developed a synthetic dataset carefully designed to rate the robust contamination removal algorithm, which demonstrated a significant improvement in specificity while retaining a high sensitivity even in the presence of cross-contaminants. Recentrifuge’s official website is www.recentrifuge.org. The data and source code are anonymously and freely available on GitHub and PyPI. The computing code is licensed under the AGPLv3. The Recentrifuge Wiki is the most extensive and continually-updated source of documentation for Recentrifuge, covering installation, use cases, testing, and other useful topics.","oxford nanopore sequencing",2019
"44","10.1371/journal.pcbi.1006967","PLOS Computational Biology","Public Library of Science","Martí, Jose Manuel","Institute for Integrative Systems Biology (I2SysBio), Valencia, Spain","Recentrifuge: Robust comparative analysis and contamination removal for metagenomics","Author summaryWhether in a clinical or environmental sample, metagenomics can reveal what microorganisms exist and what they do. It is indeed a powerful tool for the study of microbial communities which requires equally powerful methods of analysis. Current challenges in the analysis of metagenomic data include the comparative study of samples, the degree of uncertainty in the results, and the removal of contamination. The scarcer the microbes are in an environment, the more essential it is to have solutions to these issues. Examples of sites with few microbes are not only habitats with low levels of nutrients, but also many body tissues and fluids. Recentrifuge’s novel approach combines statistical, mathematical and computational methods to tackle those challenges with efficiency and robustness: it seamlessly removes diverse contamination, provides a confidence level for every result, and unveils the generalities and specificities in the metagenomic samples.","oxford nanopore sequencing",2019
"45","10.1371/journal.pone.0057717","PLoS ONE","Public Library of Science","Liu, Jie","Institut Nanosciences et Cryogénie, UMR5819 CEA/CNRS/UJF, Grenoble, France","Selective Individual Primary Cell Capture Using Locally Bio-Functionalized Micropores","BackgroundSolid-state micropores have been widely employed for 6 decades to recognize and size flowing unlabeled cells. However, the resistive-pulse technique presents limitations when the cells to be differentiated have overlapping dimension ranges such as B and T lymphocytes. An alternative approach would be to specifically capture cells by solid-state micropores. Here, the inner wall of 15-µm pores made in 10 µm-thick silicon membranes was covered with antibodies specific to cell surface proteins of B or T lymphocytes. The selective trapping of individual unlabeled cells in a bio-functionalized micropore makes them recognizable just using optical microscopy.Methodology/Principal FindingsWe locally deposited oligodeoxynucleotide (ODN) and ODN-conjugated antibody probes on the inner wall of the micropores by forming thin films of polypyrrole-ODN copolymers using contactless electro-functionalization. The trapping capabilities of the bio-functionalized micropores were validated using optical microscopy and the resistive-pulse technique by selectively capturing polystyrene microbeads coated with complementary ODN. B or T lymphocytes from a mouse splenocyte suspension were specifically immobilized on micropore walls functionalized with complementary ODN-conjugated antibodies targeting cell surface proteins.Conclusions/SignificanceThe results showed that locally bio-functionalized micropores can isolate target cells from a suspension during their translocation throughout the pore, including among cells of similar dimensions in complex mixtures.","oxford nanopore sequencing",2013
"46","10.1371/journal.pone.0212090","PLOS ONE","Public Library of Science","Ibal, Jerald Conrad","School of Applied Biosciences, Kyungpook National University, Daegu, Republic of Korea","Information about variations in multiple copies of bacterial 16S rRNA genes may aid in species identification","Variable region analysis of 16S rRNA gene sequences is the most common tool in bacterial taxonomic studies. Although used for distinguishing bacterial species, its use remains limited due to the presence of variable copy numbers with sequence variation in the genomes. In this study, 16S rRNA gene sequences, obtained from completely assembled whole genome and Sanger electrophoresis sequencing of cloned PCR products from Serratia fonticola GS2, were compared. Sanger sequencing produced a combination of sequences from multiple copies of 16S rRNA genes. To determine whether the variant copies of 16S rRNA genes affected Sanger sequencing, two ratios (5:5 and 8:2) with different concentrations of cloned 16S rRNA genes were used; it was observed that the greater the number of copies with similar sequences the higher its chance of amplification. Effect of multiple copies for taxonomic classification of 16S rRNA gene sequences was investigated using the strain GS2 as a model. 16S rRNA copies with the maximum variation had 99.42% minimum pairwise similarity and this did not have an effect on species identification. Thus, PCR products from genomes containing variable 16S rRNA gene copies can provide sufficient information for species identification except from species which have high similarity of sequences in their 16S rRNA gene copies like the case of Bacillus thuringiensis and Bacillus cereus. In silico analysis of 1,616 bacterial genomes from long-read sequencing was also done. The average minimum pairwise similarity for each phylum was reported with their average genome size and average “unique copies” of 16S rRNA genes and we found that the phyla Proteobacteria and Firmicutes showed the highest amount of variation in their copies of their 16S rRNA genes. Overall, our results shed light on how the variations in the multiple copies of the 16S rRNA genes of bacteria can aid in appropriate species identification.","oxford nanopore sequencing",2019
"47","10.1371/journal.pgen.1008332","PLOS Genetics","Public Library of Science","Fleiss, Aubin","Sorbonne Université, CNRS, Institut de Biologie Paris-Seine, Laboratory of Computational and Quantitative Biology, Paris, France","Reshuffling yeast chromosomes with CRISPR/Cas9","Genome engineering is a powerful approach to study how chromosomal architecture impacts phenotypes. However, quantifying the fitness impact of translocations independently from the confounding effect of base substitutions has so far remained challenging. We report a novel application of the CRISPR/Cas9 technology allowing to generate with high efficiency both uniquely targeted and multiple concomitant reciprocal translocations in the yeast genome. Targeted translocations are constructed by inducing two double-strand breaks on different chromosomes and forcing the trans-chromosomal repair through homologous recombination by chimerical donor DNAs. Multiple translocations are generated from the induction of several DSBs in LTR repeated sequences and promoting repair using endogenous uncut LTR copies as template. All engineered translocations are markerless and scarless. Targeted translocations are produced at base pair resolution and can be sequentially generated one after the other. Multiple translocations result in a large diversity of karyotypes and are associated in many instances with the formation of unanticipated segmental duplications. To test the phenotypic impact of translocations, we first recapitulated in a lab strain the SSU1/ECM34 translocation providing increased sulphite resistance to wine isolates. Surprisingly, the same translocation in a laboratory strain resulted in decreased sulphite resistance. However, adding the repeated sequences that are present in the SSU1 promoter of the resistant wine strain induced sulphite resistance in the lab strain, yet to a lower level than that of the wine isolate, implying that additional polymorphisms also contribute to the phenotype. These findings illustrate the advantage brought by our technique to untangle the phenotypic impacts of structural variations from confounding effects of base substitutions. Secondly, we showed that strains with multiple translocations, even those devoid of unanticipated segmental duplications, display large phenotypic diversity in a wide range of environmental conditions, showing that simply reconfiguring chromosome architecture is sufficient to provide fitness advantages in stressful growth conditions.","oxford nanopore sequencing",2019
"48","10.1371/journal.pgen.1008332","PLOS Genetics","Public Library of Science","Fleiss, Aubin","Sorbonne Université, CNRS, Institut de Biologie Paris-Seine, Laboratory of Computational and Quantitative Biology, Paris, France","Reshuffling yeast chromosomes with CRISPR/Cas9","Author summaryChromosomes are highly dynamic objects that often undergo large structural variations such as reciprocal translocations. Such rearrangements can have dramatic functional consequences, as they can disrupt genes, change their regulation or create novel fusion genes at their breakpoints. For instance, 90–95% of patients diagnosed with chronic myeloid leukemia carry the Philadelphia chromosome characterized by a reciprocal translocation between chromosomes 9 and 22. In addition, translocations reorganize the genetic information along chromosomes, which in turn can modify the 3D architecture of the genome and potentially affect its functioning. Quantifying the fitness impact of translocations independently from the confounding effect of base substitutions has so far remained challenging. Here, we report a novel CRISPR/Cas9-based technology allowing to generate with high efficiency and at a base-pair precision either uniquely targeted or multiple reciprocal translocations in yeast, without leaving any marker or scar in the genome. Engineering targeted reciprocal translocations allowed us for the first time to untangle the phenotypic impacts of large chromosomal rearrangements from that of point mutations. In addition, the generation of multiple translocations led to a large reorganization of the genetic information along the chromosomes, often including unanticipated large segmental duplications. We showed that reshuffling the genome resulted in the emergence of fitness advantage in stressful environmental conditions, even in strains where no gene was disrupted or amplified by the translocations.","oxford nanopore sequencing",2019
"49","10.1371/journal.pbio.3000271","PLOS Biology","Public Library of Science","Zhang, Xu","Department of Microbiology and Immunology, Weill Cornell Medical College, New York, New York, United States of America","Rapid antigen diversification through mitotic recombination in the human malaria parasite Plasmodium falciparum","Malaria parasites possess the remarkable ability to maintain chronic infections that fail to elicit a protective immune response, characteristics that have stymied vaccine development and cause people living in endemic regions to remain at risk of malaria despite previous exposure to the disease. These traits stem from the tremendous antigenic diversity displayed by parasites circulating in the field. For Plasmodium falciparum, the most virulent of the human malaria parasites, this diversity is exemplified by the variant gene family called var, which encodes the major surface antigen displayed on infected red blood cells (RBCs). This gene family exhibits virtually limitless diversity when var gene repertoires from different parasite isolates are compared. Previous studies indicated that this remarkable genome plasticity results from extensive ectopic recombination between var genes during mitotic replication; however, the molecular mechanisms that direct this process to antigen-encoding loci while the rest of the genome remains relatively stable were not determined. Using targeted DNA double-strand breaks (DSBs) and long-read whole-genome sequencing, we show that a single break within an antigen-encoding region of the genome can result in a cascade of recombination events leading to the generation of multiple chimeric var genes, a process that can greatly accelerate the generation of diversity within this family. We also found that recombinations did not occur randomly, but rather high-probability, specific recombination products were observed repeatedly. These results provide a molecular basis for previously described structured rearrangements that drive diversification of this highly polymorphic gene family.","oxford nanopore sequencing",2019
"50","10.1371/journal.pbio.3000271","PLOS Biology","Public Library of Science","Zhang, Xu","Department of Microbiology and Immunology, Weill Cornell Medical College, New York, New York, United States of America","Rapid antigen diversification through mitotic recombination in the human malaria parasite Plasmodium falciparum","Malaria parasites have a remarkable capacity to continuously generate genetically diverse surface antigens, helping them to evade the host immune response. This study reveals the unusual recombination mechanism which accelerates the diversification of this gene family in Plasmodium falciparum, the most severe of the human malarial parasites.","oxford nanopore sequencing",2019
